,Unnamed: 0,HOMO - 1,HOMO,LUMO,LUMO + 1,mol,smiles,Molecular Weight,Heavy Atom Molecular Weight,Max Abs Partial Charge,Max Partial Charge,Min Abs Partial Charge,Min Partial Charge,Radical Electrons,Valence Electrons,NHOH Count,NO Count,H Acceptors,H Donors,Ring Count,Aliphatic Rings,Aromatic Rings,Saturated Rings,Aromatic Carbocycles,Aromatic Heterocycles,Heteroatoms,Rotatable Bonds,Saturated Carbocycles,Saturated Heterocycles,H Count,C Count,N Count,F Count,Halogen Count,Double Bonds,Triple Bonds
0,Lithium benzoate,-9.1753,-9.0876,0.9016,1.0718,<rdkit.Chem.rdchem.Mol object at 0x16c8d2dc0>,O=C([O-])c1ccccc1.[Li+],128.05599999999995,123.01599999999998,1.0,1.0,0.5448151187546493,-0.5448151187546493,0,46,0,2,2,0,1,0,1,0,1,0,3,1,0,0,5,7,0,0,0,1,0
1,DBN,-8.871,-8.0247,2.5937,3.1774,<rdkit.Chem.rdchem.Mol object at 0x16c8d2ea0>,C1CN=C2CCCN2C1,124.187,112.09099999999998,0.36029323269982594,0.09891000728610157,0.09891000728610157,-0.36029323269982594,0,50,0,2,2,0,2,2,0,1,0,0,2,0,0,1,12,7,2,0,0,1,0
2,ZnC6F52,-9.5561,-9.5322,0.0302,0.064,<rdkit.Chem.rdchem.Mol object at 0x16c8d2e30>,Fc1[c-]c(F)c(F)c(F)c1F.Fc1[c-]c(F)c(F)c(F)c1F.[Zn+2],399.50199999999995,399.50199999999995,2.0,2.0,0.27818501903062537,-0.27818501903062537,0,120,0,0,0,0,2,0,2,0,2,0,11,0,0,0,0,12,0,10,10,0,0
3,BF3,-15.0821,-14.5217,1.6518,1.9057,<rdkit.Chem.rdchem.Mol object at 0x16c8d2f10>,FB(F)F,67.80600000000001,67.80600000000001,0.7620277074610924,0.7620277074610924,0.25400923582036405,-0.25400923582036405,0,24,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,3,0,0
4,Acridine Orange,-7.3192,-7.0858,-0.3497,1.6475,<rdkit.Chem.rdchem.Mol object at 0x16c8d2ff0>,CN(C)c1ccc2cc3ccc(N(C)C)cc3nc2c1,265.35999999999996,246.20799999999994,0.37759801298708495,0.0729872509497705,0.0729872509497705,-0.37759801298708495,0,102,0,3,3,0,3,0,3,0,2,1,3,2,0,0,19,17,3,0,0,0,0
5,TBAF,-7.8577,-7.8237,2.3482,2.7725,<rdkit.Chem.rdchem.Mol object at 0x16c8d3060>,CCCC[N+](CCCC)(CCCC)CCCC.O.[F-],279.4839999999999,241.17999999999995,1.0,0.07860281371626412,0.07860281371626412,-1.0,0,120,2,2,0,0,0,0,0,0,0,0,3,12,0,0,38,16,1,1,1,0,0
6,Pyronin B,-7.848,-7.7932,-2.6762,-0.07,<rdkit.Chem.rdchem.Mol object at 0x16c8d30d0>,CCN(CC)c1ccc2cc3ccc(=[N+](CC)CC)cc-3oc2c1.[Cl-],358.913,331.697,1.0,0.20316271595165158,0.20316271595165158,-1.0,0,134,0,3,2,0,3,2,1,0,1,0,4,5,0,0,27,21,2,0,1,1,0
7,NDI-N,-8.5188,-8.5182,-2.0641,0.0398,<rdkit.Chem.rdchem.Mol object at 0x16c8d2f80>,CN(C)CCCN1C(=O)c2ccc3c4c(ccc(c24)C1=O)C(=O)N(CCCN(C)C)C3=O,436.51200000000034,408.2880000000002,0.3093319832741065,0.2608867499684129,0.2608867499684129,-0.3093319832741065,0,168,0,8,6,0,4,2,2,0,2,0,8,8,0,0,28,24,4,0,0,4,0
8,DQ,-8.5146,-4.9377,1.08,1.1711,<rdkit.Chem.rdchem.Mol object at 0x16c8d3140>,C1=CC2=C3C=CC=CN3CCN2C=C1,184.24199999999996,172.146,0.34450724226044926,0.06474593666293862,0.06474593666293862,-0.34450724226044926,0,70,0,2,2,0,3,3,0,0,0,0,2,0,0,0,12,12,2,0,0,5,0
9,BV,-8.8574,-4.9025,1.2849,1.3521,<rdkit.Chem.rdchem.Mol object at 0x16c8d31b0>,C1=CN(Cc2ccccc2)C=CC1=C1C=CN(Cc2ccccc2)C=C1,338.454,316.2780000000001,0.34986560947656786,0.04696868613198756,0.04696868613198756,-0.34986560947656786,0,128,0,2,2,0,4,2,2,0,2,0,2,4,0,0,22,24,2,0,0,5,0
