,SMILES,HOMO,LUMO,Molecular Weight,Heavy Atom Molecular Weight,Max Absolute Partial Charge,Max Partial Charge,Min Abs Partial Charge,Min Partial Charge,Radical Electrons,Valence Electrons,NHOH Count,NO Count,H Acceptors,H Donors,Ring Count,Aliphatic Rings,Aromatic Rings,Saturated Rings,Aromatic Carbocycles,Aromatic Heterocycles,Heteroatoms,Rotatable Bonds,Saturated Carbocycles,Saturated Heterocycles,H Count,C Count,N Count,F Count,Halogen Count,Double Bonds,Triple Bonds
0,"Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6cc(S(C)(=O)=O)sc65)s4)sc3c(-c3ccc(C)s3)c3ccsc32)s1
",-0.17,-0.118,763.1619999999999,740.9859999999998,0.22315838365587842,0.18442213466035084,0.18442213466035084,-0.22315838365587842,0,228,0,2,10,0,9,0,9,0,1,8,11,6,0,0,22,35,0,0,0,2,0
1,"CN1c2ccccc2C(=C2c3ccc(-c4cccs4)cc3N(C)C2=O)C1=O
",-0.183,-0.135,372.4490000000001,356.3210000000001,0.3107641559467034,0.259055151938994,0.259055151938994,-0.3107641559467034,0,132,0,4,3,0,5,2,3,0,2,1,5,1,0,0,16,22,2,0,0,3,0
2,"Cc1cc(-c2cc3c4nsnc4c(-c4cc(C)c(-c5cccs5)s4)cc3c3nsnc32)sc1-c1cccs1
",-0.173,-0.133,600.8660000000001,584.738,0.17225146971005487,0.11359319746259713,0.11359319746259713,-0.17225146971005487,0,184,0,4,10,0,8,0,8,0,2,6,10,4,0,0,16,28,4,0,0,0,0
3,"Cn1c2ccccc2c2ccc(-c3ccc(-c4ccc(C5=C(c6ccccc6)C(c6ccccc6)=C(c6ccc(-c7cccs7)s6)[Si]5(C)C)s4)s3)cc21
",-0.158,-0.112,770.1580000000002,734.8780000000003,0.3435905398141077,0.11708320381350468,0.11708320381350468,-0.3435905398141077,0,256,0,1,5,0,10,1,9,0,4,5,6,7,0,0,35,47,1,0,0,2,0
4,"Cc1cc(-c2c3cc(-c4cccs4)sc3c(-c3cc(C)c(C)s3)c3cc(-c4ccc(-c5ccc6c(c5F)N(C)C(=O)C6=C5c6cccc(F)c6N(C)C5=O)s4)sc32)sc1C
",-0.17,-0.137,899.194,866.938,0.3081180979913949,0.259140422433135,0.259140422433135,-0.3081180979913949,0,296,0,4,8,0,11,2,9,0,3,6,12,5,0,0,32,48,2,2,2,3,0
5,"C#Cc1cc(OC)c(C#Cc2scc3nc(-c4ccccc4)c(-c4ccccc4)nc32)cc1OC
",-0.175,-0.121,472.5690000000002,452.40900000000033,0.49540182005642774,0.13551270266674484,0.13551270266674484,-0.49540182005642774,0,168,0,4,5,0,5,0,5,0,3,2,5,4,0,0,20,30,2,0,0,0,2
6,"Cc1csc(-c2ccc(-c3cc(C)c(-c4cc5c(s4)c(-c4ccc(C)cc4)c4ccsc4c5-c4ccc(C)cc4)s3)c3nsnc32)c1
",-0.169,-0.125,697.013,668.7890000000001,0.1722221668748831,0.11359893461035372,0.11359893461035372,-0.1722221668748831,0,228,0,2,7,0,9,0,9,0,4,5,7,5,0,0,28,40,2,0,0,0,0
7,"CC1=CC(c2cc(C)c(-c3ccc(-c4sc(-c5nc(C)c(-c6cccs6)s5)nc4C)s3)s2)=S=C1
",-0.168,-0.111,552.8620000000002,532.7020000000001,0.2381253432226292,0.1525862606541103,0.1525862606541103,-0.2381253432226292,0,170,0,2,7,0,6,1,5,0,0,5,8,5,0,0,20,26,2,0,0,3,0
8,"CN1C(=O)C2=C(c3ccc(-c4ccc(C(F)(F)F)cc4)s3)N(C)C(=O)C2=C1c1ccc(-c2ccc(C(F)(F)F)cc2)s1
",-0.178,-0.136,616.6080000000004,598.4640000000003,0.41591022734952726,0.41591022734952726,0.30914243350771164,-0.30914243350771164,0,214,0,4,4,0,6,2,4,0,2,2,12,4,0,0,18,30,2,6,6,4,0
9,"CC1(C)c2ccccc2-c2ccc(N(c3ccc(-c4ccc(-c5ccc(C=CC=C(C#N)C(=O)O)s5)s4)cc3)c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21
",-0.172,-0.131,762.9999999999999,724.6959999999997,0.4771150288588499,0.34593927051064916,0.34593927051064916,-0.4771150288588499,0,272,1,4,5,1,9,2,7,0,5,2,6,8,0,0,38,50,2,0,0,3,1
10,"C=Cc1ccc(N(c2ccccc2)c2ccc(-c3ccc(C=C4SC(=S)N(CC(=O)O)C4=O)s3)cc2)cc1
",-0.179,-0.126,554.7180000000003,532.5420000000001,0.4799130454369622,0.32320746686798885,0.32320746686798885,-0.4799130454369622,0,188,1,5,6,1,5,1,4,1,3,1,8,8,0,1,22,30,2,0,0,5,0
11,"N#CC(=Cc1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)s1)C(=O)O
",-0.178,-0.128,504.63600000000014,484.4760000000003,0.47711441105641134,0.34599226931326155,0.34599226931326155,-0.47711441105641134,0,174,1,4,5,1,5,0,5,0,3,2,6,7,0,0,20,30,2,0,0,2,1
12,"Cc1cc[se]c1
",-0.204,-0.049,145.06300000000002,139.015,,,,,0,32,0,0,0,0,1,0,1,0,0,1,1,0,0,0,6,5,0,0,0,0,0
13,"Cc1nc(-c2nc(C)c(-c3ccc(C4=S=C5c6cc7c(cc6C(C)(C)C5=C4)-c4sccc4C7(C)C)s3)s2)sc1-c1cccs1
",-0.165,-0.112,681.0360000000003,652.8120000000001,0.2381253432226292,0.15258626065410133,0.15258626065410133,-0.2381253432226292,0,218,0,2,7,0,9,3,6,0,1,5,8,4,0,0,28,36,2,0,0,3,0
14,"Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3-c3cc4c(cc32)-c2sc(-c3ccc(-c5ccc(-c6ccc(-c7ccc(-c8cccs8)s7)c7nsnc76)s5)s3)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1
",-0.163,-0.127,1089.561,1045.2089999999994,0.17222216519256353,0.11359876331395534,0.11359876331395534,-0.17222216519256353,0,360,0,2,9,0,15,2,13,0,6,7,9,9,0,0,44,66,2,0,0,0,0
15,"O=C1c2ccccc2C(=O)C1=Cc1ccc(-c2ccc(N(c3ccc(-c4ccc(C=Cc5cccs5)s4)cc3)c3ccc(-c4ccc(C=Cc5cccs5)s4)cc3)cc2)s1
",-0.169,-0.125,864.176,830.9119999999997,0.3105044677959651,0.19727000087258592,0.19727000087258592,-0.3105044677959651,0,288,0,3,8,0,10,1,9,0,4,5,8,11,0,0,33,52,1,0,0,5,0
16,"COc1cccc(-c2nc3c(-c4cccs4)ccc(-c4ccc(-c5cc6c(s5)c(-c5ccc(C)s5)c5ccsc5c6-c5ccc(C)s5)s4)c3nc2-c2cccc(OC)c2)c1
",-0.168,-0.118,887.236,852.9639999999998,0.4967444722467425,0.11903627779936723,0.11903627779936723,-0.4967444722467425,0,292,0,4,10,0,11,0,11,0,4,7,10,9,0,0,34,50,2,0,0,0,0
17,"Cc1csc(C=Cc2cccc3nsnc32)c1C
",-0.182,-0.118,272.398,260.30199999999996,0.17292113015155686,0.11150501236663847,0.11150501236663847,-0.17292113015155686,0,90,0,2,4,0,3,0,3,0,1,2,4,2,0,0,12,14,2,0,0,1,0
18,"C=Cc1ccc2c3ccc(C=Cc4sc(-c5cc(C)cs5)cc4C)cc3n(-c3ccc(OC)cc3)c2c1
",-0.165,-0.096,517.7190000000003,490.5030000000003,0.4967658832524285,0.11851093463477362,0.11851093463477362,-0.4967658832524285,0,182,0,2,4,0,6,0,6,0,3,3,4,6,0,0,27,33,1,0,0,2,0
19,"C=Cc1ccc2c3ccc(C=Cc4ccc(-c5ccc(C6=C(C)C(C)=C(c7ccc(-c8cccs8)s7)S6(=O)=O)s5)s4)cc3n(-c3ccc(OC)cc3)c2c1
",-0.167,-0.122,796.0980000000001,762.834,0.4967658832524285,0.20943155021412013,0.20943155021412013,-0.4967658832524285,0,266,0,4,8,0,9,1,8,0,3,5,9,9,0,0,33,45,1,0,0,6,0
20,"Cc1cc2cc3c(C#C[Si](C)(C)C)c4cc5sc(C)cc5cc4c(C#C[Si](C)(C)C)c3cc2s1
",-0.162,-0.114,510.87600000000026,480.6360000000003,0.14058364300745568,0.12934760905349021,0.12934760905349021,-0.14058364300745568,0,170,0,0,2,0,5,0,5,0,3,2,4,0,0,0,30,30,0,0,0,0,2
21,"CC1(C)c2ccsc2-c2cc3c(cc21)-c1sc(-c2ccc(-c4nc5sc(-c6cccs6)nc5s4)s2)cc1C3(C)C
",-0.168,-0.114,626.9440000000001,604.768,0.22243441846169978,0.15546782859947547,0.15546782859947547,-0.22243441846169978,0,196,0,2,8,0,9,2,7,0,1,6,8,3,0,0,22,32,2,0,0,0,0
22,"C=Cc1ccc2c3ccc(C=Cc4sc(-c5ccc(-c6ccc(-c7cc(C)cs7)s6)s5)cc4C)cc3n(-c3ccc(OC)cc3)c2c1
",-0.161,-0.105,681.9730000000001,650.7249999999999,0.4967658832524285,0.11851093463477362,0.11851093463477362,-0.4967658832524285,0,230,0,2,6,0,8,0,8,0,3,5,6,8,0,0,31,41,1,0,0,2,0
23,"COc1c(OC)c(-c2ccc(-c3cc4c(s3)c(-c3ccc(C)s3)c3ccsc3c4C3=S=C(C)C=C3)s2)c2nsnc2c1-c1cccs1
",-0.168,-0.122,741.0690000000001,716.877,0.49207898175342835,0.17193058104955355,0.17193058104955355,-0.49207898175342835,0,232,0,4,10,0,9,1,8,0,2,6,11,7,0,0,24,36,2,0,0,3,0
24,"N#CC(=Cc1ccc(-c2ccc(-c3ccc(C=C(C#N)c4ccc([N+](=O)[O-])cc4)s3)c3c2C(=O)OC3=O)s1)c1ccc([N+](=O)[O-])cc1
",-0.22,-0.163,656.6570000000002,640.5290000000001,0.3856233600472027,0.3470973724288285,0.3470973724288285,-0.3856233600472027,0,226,0,11,11,0,6,1,5,0,3,2,13,8,0,0,16,34,4,0,0,6,2
25,"COC(=O)C(C#N)=Cc1cc(C)c(-c2ccc(-c3sc(-c4cc5c(s4)-c4sc(-c6cc(C)c(-c7ccc(C8=S=C(C=C(C#N)C(=O)OC)C=C8C)s7)s6)cc4[Si]5(C)C)cc3C)s2)s1
",-0.173,-0.133,989.448,953.1599999999999,0.46489358022062566,0.34815462958231264,0.34815462958231264,-0.46489358022062566,0,314,0,6,13,0,9,2,7,0,0,7,15,10,0,0,36,48,2,0,0,7,2
26,"CN1C(=O)C2=C(c3ccc(-c4ccccc4)s3)N(C)C(=O)C2=C1c1cccs1
",-0.169,-0.123,404.5160000000002,388.3880000000002,0.3091428227527953,0.26064863272645616,0.26064863272645616,-0.3091428227527953,0,138,0,4,4,0,5,2,3,0,1,2,6,3,0,0,16,22,2,0,0,4,0
27,"Cc1ccc(-c2ccc(-c3cnc(-c4cc5c(s4)-c4sc(-c6ncc(-c7ccc(-c8ccc(C)s8)s7)c7nsnc76)cc4[Si]5(C)C)c4nsnc43)s2)s1
",-0.167,-0.138,849.2739999999999,825.0819999999999,0.2522291029441264,0.13207219733740536,0.13207219733740536,-0.2522291029441264,0,258,0,6,14,0,11,1,10,0,0,10,15,6,0,0,24,38,6,0,0,0,0
28,"CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc(-c5ccc(C6=C(c7ccccc7)C(c7ccccc7)=C(c7ccc(-c8ccc(C9=S=CC=C9)s8)s7)[Si]6(C)C)s5)s4)s3)cc21
",-0.159,-0.115,947.451,905.115,0.14298495944526898,0.11708320381353239,0.11708320381353239,-0.14298495944526898,0,310,0,0,5,0,12,3,9,0,4,5,7,9,0,0,42,57,0,0,0,5,0
29,"COCc1cc2csc(-c3cc4c(s3)c(OC)c3ccsc3c4OC)c2s1
",-0.167,-0.091,432.61300000000017,416.4850000000001,0.4945632210082557,0.14511535296437922,0.14511535296437922,-0.4945632210082557,0,138,0,3,7,0,5,0,5,0,1,4,7,5,0,0,16,20,0,0,0,0,0
30,"Cn1c2ccccc2c2ccc(-c3ccc(-c4cnc(-c5cccs5)c5nsnc54)s3)cc21
",-0.179,-0.134,480.64300000000014,464.51500000000016,0.3435905398141292,0.13207189240457962,0.13207189240457962,-0.3435905398141292,0,158,0,4,7,0,7,0,7,0,2,5,7,3,0,0,16,26,4,0,0,0,0
31,"COc1c2ccsc2c(OC)c2cc(-c3sc(-c4sc(-c5cc(C)cs5)c5c4C(=O)N(C)C5=O)cc3C)sc21
",-0.173,-0.115,607.8250000000002,586.6570000000002,0.49456322103056677,0.2623279148808522,0.2623279148808522,-0.49456322103056677,0,196,0,5,9,0,7,1,6,0,1,5,10,5,0,0,21,29,1,0,0,2,0
32,"CC1(C)CC(C=Cc2ccc(N(c3ccc(N(c4ccccc4)c4ccccc4)cc3)c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)=CC(=C(C#N)C(=O)O)C1
",-0.163,-0.121,794.999,748.631,0.4771075244150993,0.34622836668843315,0.34622836668843315,-0.4771075244150993,0,298,1,6,5,1,8,1,7,0,7,0,6,12,0,0,46,55,4,0,0,4,1
33,"COc1c2cc(C)sc2c(OC)c2cc(-c3ccc(-c4sc(-c5ccc(C)s5)c5c4C(=O)N(C)C5=O)s3)sc21
",-0.167,-0.113,607.8250000000003,586.6570000000003,0.49456303520571787,0.26232791345796125,0.26232791345796125,-0.49456303520571787,0,196,0,5,9,0,7,1,6,0,1,5,10,5,0,0,21,29,1,0,0,2,0
34,"Cc1c2ccsc2c(C)c2cc(-c3ccc(-c4cnc(-c5cccs5)c5nsnc54)s3)sc21
",-0.177,-0.137,517.7510000000001,502.63100000000014,0.2522294097797512,0.1320718924202178,0.1320718924202178,-0.2522294097797512,0,160,0,3,8,0,7,0,7,0,1,6,8,3,0,0,15,25,3,0,0,0,0
35,"CC(=O)c1cc2c(csc2-c2cc3c(s2)c(C)c2ccsc2c3C)s1
",-0.176,-0.117,398.59900000000005,384.4870000000001,0.2936046812527578,0.16925420019698859,0.16925420019698859,-0.2936046812527578,0,124,0,1,5,0,5,0,5,0,1,4,5,2,0,0,14,20,0,0,0,1,0
